URL,Traffic,Traffic %,Positions,Traffic Change,AdWords Positions,Commercial Positions,Commercial Traffic,Informational Positions,Informational Traffic,Navigational Positions,Navigational Traffic,Transactional Positions,Transactional Traffic,Unknown Positions,Unknown Traffic
https://www.shoppingjin.pk/price/dawlance/refrigerator-2/,,0.00,7,,,,,,,3,,3,,,
https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,,0.00,11,,,2,,,,,,,,,
https://www.shoppingjin.pk/product/royal-water-proof-ceiling-fan-emperor/,,0.00,,,,,,,,,,,,,
https://www.shoppingjin.pk/product/orient-elegant-18g-1-5-ton-inverter-ac/,,0.00,,-13,,,,,,,,,,,
https://www.shoppingjin.pk/price/dawlance/dishwasher/,,0.00,,,,,,,,,,,,,
https://www.shoppingjin.pk/prices/home-appliances/washing-machine/semi-automatic/,,0.00,1,,,,,,,,,,,,
https://www.shoppingjin.pk/product/dawlance-aurora-dwhd-7082-ionic-hair-dryer/,,0.00,,,,,,,,,,,,,
https://www.shoppingjin.pk/price/boss/air-cooler-1/,,0.00,,,,,,,,,,,,,
https://www.shoppingjin.pk/prices/home-appliances/washing-machine/,,0.00,3,,,1,,,,,,,,,
https://www.shoppingjin.pk/product/tcl-65p79k-4k-uhd-qled-tv/,,0.00,,,,,,,,,,,,,
https://www.shoppingjin.pk/product/edifier-active-bluetooth-bookshelf-speakers-r1280dbs/,,0.00,,,,,,,,,,,,,
https://www.shoppingjin.pk/prices/kitchen-appliances/water-filter/,,0.00,,,,,,,,,,,,,
https://www.shoppingjin.pk/price/haier/ac/,,0.00,,,,,,,,,,,,,
https://www.shoppingjin.pk/prices/home-appliances/fan/ceiling/,,0.00,1,,,,,,,,,,,,
https://www.shoppingjin.pk/prices/home-appliances/vacuum-cleaner/,,0.00,,-5,,,,,,,,,,,
https://www.shoppingjin.pk/prices/kitchen-appliances/cooking/hood/,,0.00,1,,,,,,,,,,,,
https://www.shoppingjin.pk/price/dawlance/washing-machine-2/,,0.00,,,,,,,,,,,,,
https://www.shoppingjin.pk/price/boya-mic/,,0.00,1,,,,,,,,,,,,
https://www.shoppingjin.pk/product/aicok-slow-masticating-juice-extractor/,,0.00,1,,,,,,,,,,,,
